Deutsch,Spanisch,Beispielsatz Deutsch,Beispielsatz Spanisch,Einheit,Position,Gruppe,Gruppenposition
Missbrauch,el abuso,,,41,1,,
Aquädukt,el acueducto,,,41,2,,
Helm,el casco,,,41,3,,
Mülltonne,el contenedor,,,41,4,,
Abfall,el residuo,,,41,5,,
Wachstum,el crecimiento,,,41,6,,
Herausforderung,el desafío; el reto,,,41,7,,
Zerstörung,la destrucción,,,41,8,,
Feindschaft,la enemistad,,,41,9,,
"Sklave, Sklavin","el esclavo, la esclava",,,41,10,,
Verwaltung,la gestión,,,41,11,,
"Krieger, Kriegerin","el guerrero, la guerrera",,,41,12,,
"Held, Heldin","el héroe, la heroína",,,41,13,,
Prophezeiung,la profecía,,,41,14,,
Revolte,la revuelta,,,41,15,,
Opfer,el sacrificio,,,41,16,,
Opfer bringen,hacer sacrificios,,,41,17,,
"das Wesen, Lebewesen oder das Sein",el ser,,,41,18,,
"Soldat, Soldatin","el soldado, la soldado",,,41,19,,
Nachhaltigkeit,la sostenibilidad,,,41,20,,
Überlegenheit,la superioridad,,,41,21,,
Fahrzeug,el vehículo,,,41,22,,
"Vorzug, Tugend",la virtud,,,41,23,,
"Schwäche, Fehler",el defecto,,,41,24,,
Geschwindigkeit,la velocidad,,,41,25,,
etwas ankündigen,anunciar algo,,,41,26,,
etwas ausnutzen,aprovechar algo,,,41,27,,
jemanden ausnutzen,aprovecharse de alguien,,,41,28,,
jemanden ermorden,asesinar a alguien,,,41,29,,
angreifen,atacar,,,41,30,,
jemanden besänftigen,calmar a alguien,,,41,31,,
etwas verursachen,causar algo,,,41,32,,
dezimieren,diezmar,,,41,33,,
"vor etwas fliehen, entkommen",escapar de algo,,,41,34,,
unabhängig werden,independizarse,,,41,35,,
"schmeißen, werfen",lanzar,,,41,36,,
verschwenden,malgastar,,,41,37,,
jemanden unterwerfen,someter a alguien,,,41,38,,
am Ende (von),a finales de,,,41,39,,
"freundlich, friedlich","amistoso, amistosa",,,41,40,,
"üblich, gewöhnlich",común,,,41,41,,
hochwertig,de calidad,,,41,42,,
Mitte (zeitlich),a mediados de,,,41,43,,
Wir fahren Mitte Juli in Urlaub.,Nos vamos de vacaciones a mediados de julio.,,,41,44,,
entwickelt,"desarrollado, desarrollada",,,41,45,,
"gigantisch, riesig",gigante,,,41,46,,
durchschnittlich,"medio, media",,,41,47,,
Sie verdient ein durchschnittliches Gehalt.,Ella gana un sueldo medio.,,,41,48,,
mächtig,"poderoso, poderosa",,,41,49,,
städtisch,"urbano, urbana",,,41,50,,
Der städtische Nahverkehr ist effizient.,El transporte urbano es eficiente.,,,41,51,,
abkürzen,acortar,,,41,52,,
Aussage,la afirmación,,,41,53,,
Wahrheitsgehalt,la veracidad,,,41,54,,
eindeutig,"inequívoco, inequívoca",,,41,55,,
nach / zu / in Richtung,hacia,,,41,56,,
tödlich,mortal,,,41,57,,
sich erstrecken,extenderse,,,41,58,,
gewidmet,"dedicado, dedicada",,,41,59,,
"umfassen, abdecken",abarcar,,,41,60,,
grundsätzlich,básicamente,,,41,61,,
zerstören,destruir,,,41,62,,
abschließen,concluir,,,41,63,,
Gründung,el establecimiento,,,41,64,,
Intrige,la intriga,,,41,65,,
Auswirkung,el impacto,,,41,66,,
entlang,a lo largo de,,,41,67,,
Pfeil,la flecha,,,41,68,,
eine Situation beleuchten,enfocar una situación,,,41,69,,
kurz bevorstehen,estar por,,,41,70,,
Es fängt gleich an zu regnen.,Está por llover.,,,41,71,,
zufällig,por casualidad,,,41,72,,
geschrieben von,escrito por,,,41,73,,
gemacht von,hecho por,,,41,74,,
produziert von,producido por,,,41,75,,
übersetzt von,traducido por,,,41,76,,
Heute bin ich dran zu zahlen.,Hoy me toca pagar.,,,41,77,,
Mein Handy ist weg.,Mi móvil no está.,,,41,78,,
Hoffentlich ist mein Handy nicht weg.,Ojalá esté mi móvil.,,,41,79,,
